,z_target_um,TOD_fs3,GVD,n_protons
0,99.99999999999964,0.0,13.2,23280367819.484795
1,99.99999999999964,0.0,13.2,19027457661.195526
2,99.99999999999964,0.0,13.2,24227941878.31922
3,99.99999999999964,0.0,13.2,19254832966.206223
4,99.99999999999964,0.0,13.2,37481144604.037254
5,99.99999999999964,0.0,13.25,22910259824.2864
6,99.99999999999964,0.0,13.25,25491372549.797848
7,99.99999999999964,0.0,13.25,22880423391.59487
8,99.99999999999964,0.0,13.25,19571483997.258972
9,99.99999999999964,0.0,13.25,20312721848.350258
10,99.99999999999964,0.0,13.3,22535219416.03115
11,99.99999999999964,0.0,13.3,23156923897.963596
12,99.99999999999964,0.0,13.3,23835933639.72463
13,99.99999999999964,0.0,13.3,20183689192.10018
14,99.99999999999964,0.0,13.3,22442911710.24146
15,99.99999999999964,0.0,13.35,23931365454.382473
16,99.99999999999964,0.0,13.35,18145782124.496902
17,99.99999999999964,0.0,13.35,20723215571.990013
18,99.99999999999964,0.0,13.35,24340884238.344902
19,99.99999999999964,0.0,13.35,21298361459.91475
20,99.99999999999964,0.0,13.4,15942084757.65367
21,99.99999999999964,0.0,13.4,23469018587.388226
22,99.99999999999964,0.0,13.4,22356568285.053894
23,99.99999999999964,0.0,13.4,27227182197.92621
24,99.99999999999964,0.0,13.4,20318291552.601746
25,99.99999999999964,0.0,13.45,20188396057.34409
26,99.99999999999964,0.0,13.45,23317873851.917744
27,99.99999999999964,0.0,13.45,21303903206.441364
28,99.99999999999964,0.0,13.45,18565558011.453873
29,99.99999999999964,0.0,13.45,17551671371.84352
30,99.99999999999964,0.0,13.5,19640711991.892193
31,99.99999999999964,0.0,13.5,18750729520.364986
32,99.99999999999964,0.0,13.5,19533407227.576138
33,99.99999999999964,0.0,13.5,20207421947.308563
34,99.99999999999964,0.0,13.5,22642217811.703392
35,99.99999999999964,0.0,13.55,23591737957.532066
36,99.99999999999964,0.0,13.55,19116360513.97724
37,99.99999999999964,0.0,13.55,20755671043.35535
38,99.99999999999964,0.0,13.55,20504071788.84858
39,99.99999999999964,0.0,13.55,116418131.41657312
40,99.99999999999964,0.0,13.6,21540544752.92453
41,99.99999999999964,0.0,13.6,22062347488.19517
42,99.99999999999964,0.0,13.6,22749938192.181366
43,99.99999999999964,0.0,13.6,24282909130.80596
44,99.99999999999964,0.0,13.6,21196879974.894085
45,99.99999999999964,0.0,13.65,22151562302.02033
46,99.99999999999964,0.0,13.65,21701034834.128017
47,99.99999999999964,0.0,13.65,17686679133.00599
48,99.99999999999964,0.0,13.65,23847642503.31541
49,99.99999999999964,0.0,13.65,21929211206.247406
50,99.99999999999964,0.0,13.7,20281530732.763462
51,99.99999999999964,0.0,13.7,28704001013.125042
52,99.99999999999964,0.0,13.7,26115631894.943054
53,99.99999999999964,0.0,13.7,20109474288.601955
54,99.99999999999964,0.0,13.7,24799509920.66953
55,99.99999999999964,0.0,13.75,27715413241.721844
56,99.99999999999964,0.0,13.75,21978092255.537098
57,99.99999999999964,0.0,13.75,21805927509.528263
58,99.99999999999964,0.0,13.75,28176497566.21618
59,99.99999999999964,0.0,13.75,22951208857.245564
60,99.99999999999964,0.0,13.8,32222881670.553787
61,99.99999999999964,0.0,13.8,28406072252.784836
62,99.99999999999964,0.0,13.8,20862550196.74076
63,99.99999999999964,0.0,13.8,27080866927.382698
64,99.99999999999964,0.0,13.8,32440003276.940308
65,99.99999999999964,0.0,13.85,22286724413.682682
66,99.99999999999964,0.0,13.85,25571612185.393486
67,99.99999999999964,0.0,13.85,27272560986.537975
68,99.99999999999964,0.0,13.85,21724551716.529087
69,99.99999999999964,0.0,13.85,30851196714.51642
70,99.99999999999964,0.0,13.9,30230415360.62901
71,99.99999999999964,0.0,13.9,23735976988.477226
72,99.99999999999964,0.0,13.9,24722729841.216175
73,99.99999999999964,0.0,13.9,28554075582.256283
74,99.99999999999964,0.0,13.9,21930938531.157524
75,99.99999999999964,0.0,13.95,24674806136.47854
76,99.99999999999964,0.0,13.95,29273416447.67666
77,99.99999999999964,0.0,13.95,25921890902.234512
78,99.99999999999964,0.0,13.95,25694106150.30493
79,99.99999999999964,0.0,13.95,25605259636.344604
80,99.99999999999964,0.0,14.0,18998939998.90556
81,99.99999999999964,0.0,14.0,24941669091.695183
82,99.99999999999964,0.0,14.0,31855805560.656258
83,99.99999999999964,0.0,14.0,24641825729.865852
84,99.99999999999964,0.0,14.0,25575452949.051403
0,99.99999999999964,-80000.0,13.6,25689787380.98471
1,99.99999999999964,-80000.0,13.6,26597232608.861595
2,99.99999999999964,-80000.0,13.6,20493804073.09785
3,99.99999999999964,-80000.0,13.6,22561664177.818287
4,99.99999999999964,-80000.0,13.6,29469603476.462414
5,99.99999999999964,-70000.0,13.6,28447077067.026596
6,99.99999999999964,-70000.0,13.6,25763135548.382156
7,99.99999999999964,-70000.0,13.6,15956774184.39421
